Latitude,Longitude,Name,Address
-73.957604,40.970705,"Target - Closter,","29 Vervalen St,Closter,NJ,07624 ,#3235,,(201) 367-1405"
-87.519174,33.193065,"Target - Tuscaloosa,","1901 13th Ave E,Tuscaloosa,AL,35404 ,#1787,(205) 462-1064"
-116.791171,47.733311,"Target - Coeur d'Alene,","315 W Canfield Ave,Coeur D Alene,ID,83815 ,#0679,(208) 772-7523"
-121.372991,38.048541,"Target - Stockton North,","10424 Trinity Pkwy,Stockton,CA,95219 ,#1862,(209) 235-0251"
-121.300125,37.807874,"Target - Lathrop,","16858 Golden Valley Pkwy,Lathrop,CA,95330 ,#2347,(209) 242-5041"
-120.613616,37.342708,"Target - Atwater,","1000 Commerce Ave,Atwater,CA,95301 ,#2386,(209) 357-4820"
-121.302838,38.115696,"Target - Lodi,","2355 W Kettleman Ln,Lodi,CA,95242 ,#0853,(209) 369-9371"
-121.315757,37.990975,"Target - Stockton,","4707 Pacific Ave,Stockton,CA,95207 ,#0313,(209) 476-8081"
-121.066909,37.695485,"Target - Modesto NW,","3900 Sisk Rd,Modesto,CA,95356 ,#0938,(209) 543-9561"
-120.994535,37.687121,"Target - Modesto,","3405 Mchenry Ave,Modesto,CA,95350 ,#0273,(209) 572-3341"
-120.880878,37.520344,"Target - Turlock,","3000 Countryside Dr,Turlock,CA,95380 ,#1304,(209) 632-0132"
-120.486723,37.321822,"Target - Merced,","3280 R St,Merced,CA,95348 ,#0641,(209) 725-3482"
-121.197808,37.795124,"Target - Manteca,","280 Spreckels Ave,Manteca,CA,95336 ,#1526,(209) 823-9982"
-120.871988,37.054651,"Target - Los Banos,","1405 W Pacheco Blvd,Los Banos,CA,93635 ,#2359,(209) 827-2080"
-121.462075,37.758141,"Target - Tracy,","2800 Naglee Rd,Tracy,CA,95304 ,#0738,(209) 833-3494"
-120.954455,37.711011,"Target - Riverbank,","2425 Claribel Rd,Riverbank,CA,95367 ,#2096,(209) 863-1270"
-98.598503,29.607109,"Target - La Cantera,","17502 La Cantera Pkwy,San Antonio,TX,78257 ,#2187,(210) 247-0113"
-118.284024,34.026619,"Target - Los Angeles USC Villlage,","3131 S Hoover St,Los Angeles,CA,90089 ,#3217,(213) 275-3149"
-118.287011,34.063086,"Target - Los Angeles Koreatown,","620 S Virgil Ave,Los Angeles,CA,90005 ,#3216,,(213) 296-3712"
-118.260397,34.049061,"Target - LA Central,","735 S Figueroa St,Los Angeles,CA,90017 ,#2776,(213) 330-4543"
-118.26326,34.077655,"Target - LA Sunset,","5500 W Sunset Blvd,Los Angeles,CA,90026 ,#2479,(213) 588-7000"
-75.090301,39.990062,"Target - Phila Bridesburg,","2701 Castor Ave,Philadelphia,PA,19134 ,#2075,(215) 305-9050"
-88.958292,39.891013,"Target - Decatur,","355 W Mound Rd,Decatur,IL,62526 ,#1951,(217) 875-6060"
-87.508751,41.567977,"Target - Munster,","8005 Calumet Ave,Munster,IN,46321 ,#1913,(219) 836-2489"
-81.943863,26.511047,"Target - Fort Myers SW,","15880 San Carlos Blvd,Ft Myers,FL,33908 ,#2363,(239) 265-9002"
-81.974492,26.606512,"Target - Cape Coral,","2430 Santa Barbara Blvd,Cape Coral,FL,33914 ,#1454,(239) 458-5868"
-81.933913,26.670944,"Target - Cape Coral North,","1890 NE Pine Island Road,Cape Coral,FL,33909 ,#2316,(239) 829-2639"
-86.543075,34.676431,"Target - Huntsville South,","2750 Carl T Jones Dr SE,Huntsville,AL,35802 ,#1367,(256) 650-3491"
-86.972221,34.561677,"Target - Decatur,","1235 Point Mallard Pkwy SE,Decatur,AL,35601 ,#2084,(256) 898-3036"
-87.124248,37.720582,"Target - Owensboro,","5151 Frederica St,Owensboro,KY,42301 ,#0757,(270) 686-7033"
-86.437761,36.950955,"Target - Bowling Green,","160 American Ave,Bowling Green,KY,42104 ,#0958,(270) 842-0013"
-76.514462,38.299243,"Target - Lexington Park,","45155 First Colony Way,California,MD,20619 ,#1258,(301) 862-5003"
-104.991638,39.745211,"Target - Denver Downtown,","1600 California St,Denver,CO,80202 ,#3279,(303) 222-7520"
-104.858819,39.408023,"Target - Castle Rock,","5010 Founders Pkwy,Castle Rock,CO,80108 ,#1326,(303) 663-4322"
-80.601212,40.056215,"Target - Wheeling,","300 Cabela Dr,Triadelphia,WV,26059 ,#2231,(304) 547-2980"
-80.143353,25.970786,"Target - Aventura,","21265 Biscayne Blvd,Aventura,FL,33180 ,#1074,(305) 933-4616"
-80.158219,25.906676,"Target - North Miami,","14075 Biscayne Blvd,North Miami Beach,FL,33181 ,#1038,(305) 944-5341"
-106.270199,42.846972,"Target - Casper,","401 SE Wyoming Blvd,Casper,WY,82609 ,#0164,(307) 265-8214"
-90.387242,40.975154,"Target - Galesburg,","1071 W Carl Sandburg Dr,Galesburg,IL,61401 ,#0891,(309) 344-3211"
-118.346859,33.825343,"Target - Torrance,","3433 Sepulveda Blvd,Torrance,CA,90505 ,#0200,(310) 214-1561"
-118.315175,33.886734,"Target - Gardena,","2169 W Redondo Beach Blvd,Gardena,CA,90247 ,#0290,(310) 327-0762"
-118.285881,33.808539,"Target - Carson,","651 W Sepulveda Blvd,Carson,CA,90745 ,#2328,(310) 507-0020"
-118.292881,33.759942,"Target - San Pedro,","1701 N Gaffey St,San Pedro,CA,90731 ,#2470,(310) 507-6289"
-118.395823,33.888901,"Target - Manhattan Beach,","1200 N Sepulveda Blvd,Manhattan Beach,CA,90266 ,#0199,(310) 546-5601"
-118.332618,33.945636,"Target - Inglewood,","3471 W Century Blvd,Inglewood,CA,90301 ,#1329,(310) 677-2436"
-118.218075,33.879635,"Target - Compton-Rancho Dom,","1621 S Alameda St,Compton,CA,90220 ,#2275,(310) 735-0096"
-118.356442,33.868654,"Target - Redondo Beach,","1601 Kingsdale Ave,Redondo Beach,CA,90278 ,#1980,(310) 750-0003"
-118.395569,33.985591,"Target - Culver City South,","6000 Sepulveda Blvd,Culver City,CA,90230 ,#2632,(310) 754-4614"
-118.264061,33.845301,"Target - Carson North,","20700 S Avalon Blvd,Carson,CA,90746 ,#2026,(310) 819-3011"
-118.395307,33.999889,"Target - Culver City,","10820 Jefferson Blvd,Culver City,CA,90230 ,#0198,(310) 839-5200"
-118.351076,33.901398,"Target - Los Angeles Lawndale,","14310 Hawthorne Blvd,Lawndale,CA,90260 ,#3336,(310) 844-1340"
-118.443441,34.062438,"Target - LA Westwood,","10861 Weyburn Ave,Los Angeles,CA,90024 ,#2774,(310) 893-2360"
-118.373323,34.021895,"Target - Los Angeles,","3535 S La Cienega Blvd,Los Angeles,CA,90016 ,#1306,(310) 895-1131"
-87.630765,41.869065,"Target - Chicago South Loop,","1154 S Clark St,Chicago,IL,60605 ,#1889,(312) 212-6300"
-87.655007,41.877737,"Target - Chicago West Loop,","1101 W Jackson Blvd,Chicago,IL,60607 ,#2781,(312) 279-3340"
-87.643205,41.903765,"Target - Chicago Larrabee,","1200 N Larrabee St,Chicago,IL,60610 ,#2613,(312) 470-8944"
-87.617121,41.89087,"Target - Chicago Streeterville,","401 E Illinois St,Chicago,IL,60611 ,#3207,(312) 894-1764"
-86.232521,39.936428,"Target - Carmel,","1600 E 151st,Carmel,IN,46032 ,#1063,(317) 815-0560"
-92.070875,32.498955,"Target - Monroe,","4103 Pecanland Mall Dr,Monroe,LA,71203 ,#1469,(318) 361-3781"
-118.224106,34.142394,"Target - Los Angeles Eagle Rock,","2626 Colorado Blvd,Los Angeles,CA,90041 ,#1408,(323) 258-1355"
-118.225005,34.122284,"Target - LA Glassell Park,","4211 N Eagle Rock Blvd,Los Angeles,CA,90065 ,#3262,(323) 474-3070"
-118.322418,33.923548,"Target - Hawthorne,","2700 W 120th St,Hawthorne,CA,90250 ,#2280,(323) 492-1000"
-118.374938,34.075906,"Target - LA Beverly,","8480 Beverly Blvd,Los Angeles,CA,90048 ,#2775,(323) 602-0637"
-118.344723,34.090591,"Target - West Hollywood,","7100 Santa Monica Blvd,West Hollywood,CA,90046 ,#1884,(323) 603-0004"
-118.150403,34.018803,"Target - Commerce,","5600 Whittier Blvd,Commerce,CA,90022 ,#0189,(323) 725-1121"
-118.3439,34.04984,"Target - Los Angeles Mid-City,","1302  S La Brea,Los Angeles,CA,90019 ,#3294,(323) 801-0965"
-118.344224,34.066228,"Target - Los Angeles,","415 S La Brea Ave,Los Angeles,CA,90036 ,#3359,(323) 801-2401"
-81.432292,40.860521,"Target - Canton,","5584 Dressler Rd NW,North Canton,OH,44720 ,#0794,(330) 494-2153"
-92.050313,30.158191,"Target - Lafayette,","4313 Ambassador Caffery Pkwy,Lafayette,LA,70508 ,#1473,(337) 406-2536"
-82.157651,29.174561,"Target - Ocala,","2000 SW College Rd,Ocala,FL,34474 ,#0873,(352) 629-1333"
-122.337504,48.464718,"Target - Burlington,","199 Cascade Mall Dr,Burlington,WA,98233 ,#0696,(360) 757-6737"
-84.348941,33.756909,"Target - Atlanta Edgewood,","1275 Caroline St NE,Atlanta,GA,30307 ,#1964,(404) 260-0200"
-111.070663,45.712115,"Target - Bozeman,","2550 Catron Rd,Bozeman,MT,59718 ,#1237,(406) 582-9669"
-81.338398,28.671496,"Target - Casselberry,","4410 S Hwy 17 92,Casselberry,FL,32707 ,#0898,(407) 830-7979"
-121.813357,37.308249,"Target - San Jose East,","3155 Silver Creek Rd,San Jose,CA,95121 ,#2238,(408) 238-7800"
-121.846113,37.373587,"Target - San Jose Capitol,","450 N Capital Ave,San Jose,CA,95133 ,#1426,(408) 254-8931"
-121.918929,37.262894,"Target - San Jose West,","1811 Hillsdale Ave,San Jose,CA,95124 ,#0324,(408) 267-7900"
-121.841389,37.340821,"Target - San Jose Story Rd,","1750 Story Rd,San Jose,CA,95122 ,#1984,(408) 273-0054"
-121.649511,37.155241,"Target - Morgan Hill,","1061 Cochrane Rd,Morgan Hill,CA,95037 ,#2252,(408) 310-4050"
-121.906733,37.340591,"Target - San Jose College Park,","533 Coleman Ave,San Jose,CA,95110 ,#2088,(408) 346-2022"
-121.861142,37.250595,"Target - San Jose Oakridge,","879 Blossom Hill Rd,San Jose,CA,95123 ,#1927,(408) 513-3002"
-121.803267,37.250272,"Target - San Jose South,","5630 Cottle Rd,San Jose,CA,95123 ,#2605,(408) 600-3721"
-121.862974,37.305108,"Target - San Jose Central,","2161 Monterey Hwy,San Jose,CA,95125 ,#2281,(408) 660-1703"
-122.034719,37.375009,"Target - Sunnyvale,","298 W McKinley Ave,Sunnyvale,CA,94086 ,#2584,(408) 702-1012"
-122.037232,37.323068,"Target - Cupertino,","20745 Stevens Creek Blvd,Cupertino,CA,95014 ,#0323,(408) 725-2651"
-121.953789,37.418161,"Target - San Jose North,","95 Holger Way,San Jose,CA,95134 ,#2581,(408) 834-1527"
-121.550368,37.001262,"Target - Gilroy,","6705 Camino Arroyo,Gilroy,CA,95020 ,#1851,(408) 848-6466"
-121.989155,37.293899,"Target - San Jose Westgate,","1600 Saratoga Ave,San Jose,CA,95129 ,#1427,(408) 871-7984"
-121.874814,37.414722,"Target - San Jose Landess,","2155 Morrill Ave,San Jose,CA,95132 ,#0626,(408) 946-6791"
-76.454211,39.370177,"Target - White Marsh,","5230 Campbell Blvd,Nottingham,MD,21236 ,#1001,(410) 933-9632"
-122.491096,37.954544,"Target - San Rafael,","125 Shoreline Pkwy,San Rafael,CA,94901 .#2772,(415) 299-6122"
-122.403748,37.784792,"Target - San Francisco Central,","789 Mission St,San Francisco,CA,94103 ,#2766,(415) 343-6272"
-122.401243,37.790576,"Target - San Francisco CBD East,","225 Bush St,San Francisco,CA,94104 ,#3201,(415) 365-0844"
-122.483093,37.70068,"Target - Westlake,","100 Westlake Ctr,Daly City,CA,94015 ,#3353,(415) 466-1470"
-122.465422,37.726893,"Target - San Francisco Stonestown,","233 Winston Dr,San Francisco,CA,94132 ,#3264,(415) 680-2914"
-122.445793,37.781853,"Target - San Francisco West,","2675 Geary Blvd,San Francisco,CA,94118 ,#2768,(415) 796-5280"
-122.461135,37.725107,"Target - San Francisco South,","1830 Ocean Ave,San Francisco,CA,94112 ,#3203,(415) 840-0523"
-122.555228,38.089899,"Target - Novato,","200 Vintage Way,Novato,CA,94945 ,#0692,(415) 892-3313"
-122.51149,37.873886,"Target - Marin City,","180 Donahue St,Sausalito,CA,94965 ,#3240,(415) 944-5540"
-118.379292,34.044041,"Target - La Cienega,","1833 La Cienega Blvd,Los Angeles,CA,90035 ,#3347,(424) 361-3817"
-118.376297,33.774555,"Target - Rolling Hills,","43 Peninsula Ctr,Rolling Hills Estates,CA,90274 ,#3360,(424) 409-2004"
-118.4866321,34.028358,"Target - Santa Monica,","1610 Wilshire Blvd,Santa Monica,CA,90403 ,#3338,(424) 416-5730"
-118.395768,33.955581,"Target - Westchester,","8900 Sepulveda Blvd,Los Angeles,CA,90045 ,#3371,(424) 439-5000"
-118.459435,34.041737,"Target - LA Sawtelle,","11840 Santa Monica Blvd,Los Angeles,CA,90025 ,#3231,(424) 559-3327"
-117.383802,34.426467,"Target - Hesperia,","12795 Main St,Hesperia,CA,92345 ,#2468,(442) 949-3062"
-75.519592,40.048362,"Target - Malvern,","455 Carnegie Blvd,Malvern,PA,19355 ,#2537,(484) 913-3750"
-92.228243,34.790624,"Target - Little Rock North,","4000 McCain Blvd,North Little Rock,AR,72116 ,#0162,(501) 771-4220"
-122.279488,37.788757,"Target - Alameda,","2700 5th St,Alameda,CA,94501 ,#2829,(510) 214-0931"
-122.311113,37.987767,"Target - Pinole,","1400 Fitzgerald Dr,Pinole,CA,94564 ,#0737,(510) 222-0558"
-122.328251,37.932821,"Target - Richmond,","4500 Macdonald Ave,Richmond,CA,94805 ,#1507,(510) 253-1000"
-122.124011,37.701637,"Target - San Leandro Bayfair,","15555 E 14th St,San Leandro,CA,94578 ,#1428,(510) 276-2699"
-122.287572,37.829302,"Target - Oakland-Emeryville,","1555 40th St,Emeryville,CA,94608 ,#2767,(510) 285-0559"
-122.063413,37.607117,"Target - Hayward,","2499 Whipple Rd,Hayward,CA,94544 ,#1472,(510) 471-9166"
-122.28358,37.86949,"Target - Berkeley University Ave,","1414 University Ave,Berkeley,CA,94702 ,#3267,(510) 542-5346"
-122.120685,37.667087,"Target - Hayward North,","19661 Hersperian Blvd,Hayward,CA,94541 ,#2185,(510) 731-0001"
-122.264061,37.815643,"Target - Oakland,","2650 Broadway,Oakland,CA,94612 ,#3330,(510) 768-0188"
-121.970331,37.501586,"Target - Fremont South,","43950 Pacific Commons Blvd,Fremont,CA,94538 ,#2615,(510) 771-1616"
-121.984571,37.546406,"Target - Fremont Hub,","39201 Fremont Blvd,Fremont,CA,94538 ,#1422,(510) 795-6305"
-122.308035,37.884731,"Target - Albany,","1057 Eastshore Hwy,Albany,CA,94710 ,#1926,(510) 982-0512"
-122.266122,37.868896,"Target - Berkeley Central,","2187 Shattuck Ave,Berkeley,CA,94704 ,#3202,(510) 982-3726"
-97.952694,30.319623,"Target - Bee Cave,","3702 Ranch Rd 620 S,Bee Cave,TX,78738 ,#1812,(512) 651-0094"
-84.51634,39.1281,"Target - UC Calhoun St,","235 Calhoun St,Cincinnati,OH,45219 ,#3254,(513) 698-8161"
-84.364097,39.356637,"Target - West Chester Twp,","7644 Voice of America Center Dr,West Chester,OH,45069 ,#1534,(513) 712-1001"
-122.348738,40.585932,"Target - Redding,","1280 Dana Dr,Redding,CA,96003 ,#0615,(530) 223-0123"
-120.843666,38.710243,"Target - Placerville,","3968 Missouri Flat Rd,Placerville,CA,95667 ,#3355,(530) 303-5921"
