CalcLocation,Name,Address,City,State,Zip,formated_phone,Status,Icon,Type
"34.05224200,-118.47358800",PHARMACA INTEGRATIVE PHARMACY,12025 SAN VICENTE BLVD,LOS ANGELES,CA,900494999,310-476-1237,open,small_green,Pharmacy
"34.44166500,-119.26200400",OJAI REXALL DRUGS,1125 MARICOPA HWY,OJAI,CA,930233196,805-646-4361,open,small_green,Pharmacy
"36.56798000,-119.61165500",FOX DRUG STORE,1939 HIGH ST,SELMA,CA,93662,559-896-1645,open,small_green,Pharmacy
"36.98205300,-122.00743100",SAFEWAY PHARMACY #0799,117 MORRISSEY BLVD,SANTA CRUZ,CA,950621540,831-426-8911,open,small_green,Pharmacy
"37.96247100,-121.33772300",SAFEWAY PHARMACY #1769,2808 COUNTRY CLUB BLVD,STOCKTON,CA,952043957,209-461-5560,open,small_green,Pharmacy
"33.87334100,-118.08849500",The Medicine Shoppe Pharmacy,11515 Artesia Blvd,Artesia,CA,907013852,562-402-1000,open,small_green,Pharmacy
"39.09011900,-122.79538400",LUCERNE PHARMACY,6244 E Highway 20,LUCERNE,CA,954581316,707-274-6643,open,small_green,Pharmacy
"33.68638100,-117.95468600",WALGREENS #9089,19001 BROOKHURST ST,HUNTINGTON BEACH,CA,926462551,714-593-1352,open,small_green,Pharmacy
"37.97861900,-121.29060100",CALMONT PHARMACY,2800 N California St Ste 9,STOCKTON,CA,952043757,209-943-7676,open,small_green,Pharmacy
"37.74188400,-122.49839200",WALGREENS #4570,3001 TARAVAL ST,SAN FRANCISCO,CA,941162106,415-759-0572,open,small_green,Pharmacy
"33.91750800,-118.01306600",WALGREENS #13812,14885 Telegraph Rd,LA MIRADA,CA,906381060,562-777-3405,open,small_green,Pharmacy
"34.18073600,-118.46591800",COSTCO PHARMACY #48,6100 SEPULVEDA BLVD,VAN NUYS,CA,914112503,818-989-5158,open,small_green,Pharmacy
"37.55792600,-122.00726100",Haller's Pharmacy and Medical Supply,37323 FREMONT BLVD,FREMONT,CA,945365098,510-797-2772,open,small_green,Pharmacy
"39.75608600,-121.86505800",RITE AID PHARMACY 06094,220 WEST EAST AVENUE,CHICO,CA,959267215,530-343-9495,open,small_green,Pharmacy
"38.44138100,-122.69840800",TUTTLE'S PHARMACIES INC,1220 SONOMA AVE,SANTA ROSA,CA,954056698,707-546-9090,not participating,measle_white,Pharmacy
"37.79835500,-121.24413900",KAISER HEALTH PLAN MANTECA PHY NO 491,1721 WEST YOSEMITE AVE,MANTECA,CA,95337,209-824-5088,not participating,measle_white,Pharmacy
"38.67346800,-121.16408900",RITE AID PHARMACY 06266,526 EAST BIDWELL STREET,FOLSOM,CA,956303119,916-984-7749,open,small_green,Pharmacy
"33.75909000,-117.94779900",MANNA PHARMACY,10402 WESTMINSTER AVE STE C,GARDEN GROVE,CA,92843,714-534-4133,unknown,small_yellow,Pharmacy
"33.88568200,-117.99429100",BEACH MEDICAL PHARMACY,5230 BEACH BLVD.,BUENA PARK,CA,90621,714-739-8811,open,small_green,Pharmacy
"32.75002100,-117.21369500",KAISER PERMANENTE PHARMACY #214,3250 FORDHAM STREET,SAN DIEGO,CA,92110,866-385-2646,not participating,measle_white,Pharmacy
"34.17235400,-119.17827500",Stans Drugs,3001 SAVIERS RD,OXNARD,CA,930335395,805-486-2678,open,small_green,Pharmacy
"33.10799800,-117.31443600",KAISER PERMANENTE PHARMACY,6860 AVENIDA ENCINAS,CARLSBAD,CA,920113201,866-385-2631,not participating,measle_white,Pharmacy
"37.23974400,-121.79921800",KAISER HEALTH PLAN TWO NORTH PHY #637,270 INTERNATIONAL CIRCLE,SAN JOSE,CA,95119,408-972-7753,not participating,measle_white,Pharmacy
"32.79361300,-116.98122100",KAISER PERMANENTE PHARMACY 225,250 TRAVELODGE DRIVE,EL CAJON,CA,92020,866-385-2634,not participating,measle_white,Pharmacy
"37.78675800,-122.43370300",WALGREENS #2152,1899 FILLMORE ST,SAN FRANCISCO,CA,941153125,415-771-4603,open,small_green,Pharmacy
"34.12749500,-118.25764500",MEMORIAL MEDICAL PHARMACY,1510 S CENTRAL AVE STE 110,GLENDALE,CA,912042502,818-247-0526,not participating,measle_white,Pharmacy
"37.79198100,-122.24934100","La Clinica de La Raza, Inc",1030 INTERNATIONAL BLVD,OAKLAND,CA,946063796,510-238-5494,open,small_green,Pharmacy
"34.02699800,-118.50138200",PHARMACA INTEGRATIVE PHARMACY INC,734 MONTANA AVE,SANTA MONICA,CA,904031496,310-451-1414,open,small_green,Pharmacy
"33.86059500,-118.14135400",JOHNS SHOP RITE PHARMACY,4333 South St,Lakewood,CA,907121148,562-616-0056,unknown,small_yellow,Pharmacy
"38.05437200,-122.15511200",RITE AID PHARMACY 05910,60 SOLANO SQUARE,BENICIA,CA,945102712,707-746-0229,open,small_green,Pharmacy
"33.74414300,-116.30323400",RITE AID PHARMACY 06246,41800 WASHINGTON STREET SUITE 113B,BERMUDA DUNES,CA,922018150,760-360-6280,not participating,measle_white,Pharmacy
"33.99689600,-118.39425800",PAVILIONS PHARMACY #2212,11030 W JEFFERSON BLVD,CULVER CITY,CA,902305520,310-398-8044,open,small_green,Pharmacy
"33.16671600,-117.22102800",KAISER PERMANENTE PHARMACY 239,780 SHADOWRIDGE DR,VISTA,CA,92083,866-391-2672,not participating,measle_white,Pharmacy
"34.41804900,-117.28270700",RITE AID PHARMACY 06276,17441 MAIN STREET,HESPERIA,CA,923456268,760-948-4430,open,small_green,Pharmacy
"33.61376200,-117.87197000",NEWPORT COAST PHARMACY,400 NEWPORT CENTER DRIVE SUITE 106,NEWPORT BEACH,CA,92660,949-719-3707,open,small_green,Pharmacy
"34.66463800,-118.15522400",KAISER PERMANENTE PHARMACY 254,43112 N 15TH STREET,LANCASTER,CA,93534,866-362-5488,not participating,measle_white,Pharmacy
