name,url,street_address,city,state,zip_code,country,phone_number_1,phone_number_2,fax_1,fax_2,email_1,email_2,website,open_hours,latitude,longitude,facebook,twitter,instagram,pinterest,youtube
Stockton Supercenter,https://www.walmart.com/store/1554/stockton-ca/details,3223 E Hammer Ln,Stockton,CA,95212,US,209-473-2796,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",38.023504,-121.273567,,,,,
El Centro Supercenter,https://www.walmart.com/store/1555/el-centro-ca/details,2150 N Waterman Ave,El Centro,CA,92243,US,760-337-1600,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",32.813411,-115.577324,,,,,
Lancaster Supercenter,https://www.walmart.com/store/1563/lancaster-ca/details,44665 Valley Central Way,Lancaster,CA,93536,US,661-940-8744,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",34.693755,-118.174112,,,,,
Oroville Supercenter,https://www.walmart.com/store/1575/oroville-ca/details,465 Cal Oak Rd,Oroville,CA,95965,US,530-534-1082,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",39.496607,-121.57343,,,,,
Madera Store,https://www.walmart.com/store/1583/madera-ca/details,1977 W Cleveland Ave,Madera,CA,93637,US,559-675-9212,,,,,,,"monday - friday : 07:00-23:00, saturday : 07:00-23:00, sunday : 07:00-23:00",36.975625,-120.08061,,,,,
Bakersfield Supercenter,https://www.walmart.com/store/1574/bakersfield-ca/details,6225 Colony St,Bakersfield,CA,93307,US,661-398-7297,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",35.298796,-119.029215,,,,,
Modesto Store,https://www.walmart.com/store/1587/modesto-ca/details,2225 Plaza Pkwy,Modesto,CA,95350,US,209-524-4733,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",37.673392,-121.037048,,,,,
Victorville Supercenter,https://www.walmart.com/store/1588/victorville-ca/details,11896 Amargosa Rd,Victorville,CA,92392,US,760-951-5005,,,,,,,"monday - friday : 05:00-24:00, saturday : 05:00-24:00, sunday : 05:00-24:00",34.465211,-117.354392,,,,,
Ridgecrest Supercenter,https://www.walmart.com/store/1600/ridgecrest-ca/details,201 East Bowman Road,Ridgecrest,CA,93555,US,760-371-4974,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",35.60703,-117.673342,,,,,
Red Bluff Supercenter,https://www.walmart.com/store/1608/red-bluff-ca/details,608 Luther Road,Red Bluff,CA,96080,US,530-529-5540,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",40.162188,-122.232418,,,,,
Pittsburg Store,https://www.walmart.com/store/1615/pittsburg-ca/details,2203 Loveridge Rd,Pittsburg,CA,94565,US,925-427-2022,,,,,,,"monday - friday : 07:00-24:00, saturday : 07:00-24:00, sunday : 07:00-24:00",38.009048,-121.868154,,,,,
Susanville Store,https://www.walmart.com/store/1616/susanville-ca/details,2900 Main St,Susanville,CA,96130,US,530-251-2000,,,,,,,"monday - friday : 06:00-22:00, saturday : 06:00-22:00, sunday : 06:00-22:00",40.409033,-120.637585,,,,,
Bakersfield Supercenter,https://www.walmart.com/store/1624/bakersfield-ca/details,2601 Fashion Place,Bakersfield,CA,93306,US,661-873-7120,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",35.391531,-118.960829,,,,,
Yreka Supercenter,https://www.walmart.com/store/1630/yreka-ca/details,1906 Fort Jones Rd,Yreka,CA,96097,US,530-842-7330,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",41.6986659,-122.6444711,,,,,
Hanford Supercenter,https://www.walmart.com/store/1645/hanford-ca/details,250 S 12th Ave,Hanford,CA,93230,US,559-583-6292,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",36.32181,-119.676372,,,,,
American Canyon Supercenter,https://www.walmart.com/store/1651/american-canyon-ca/details,7011 Main St,American Canyon,CA,94503,US,707-557-4393,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",38.182987,-122.252632,,,,,
Palmdale Supercenter,https://www.walmart.com/store/1660/palmdale-ca/details,40130 10th St W,Palmdale,CA,93551,US,661-267-6496,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",34.611652,-118.144492,,,,,
Redlands Store,https://www.walmart.com/store/1693/redlands-ca/details,2050 W Redlands Blvd,Redlands,CA,92373,US,909-798-9114,,,,,,,"monday - friday : 05:00-24:00, saturday : 05:00-24:00, sunday : 05:00-24:00",34.065136,-117.222895,,,,,
Colton Supercenter,https://www.walmart.com/store/1692/colton-ca/details,1120 S Mount Vernon Ave,Colton,CA,92324,US,909-783-0497,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",34.050112,-117.306233,,,,,
Elk Grove Store,https://www.walmart.com/store/1697/elk-grove-ca/details,8465 Elk Grove Blvd,Elk Grove,CA,95758,US,916-684-7100,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",38.411762,-121.391694,,,,,
Poway Supercenter,https://www.walmart.com/store/1700/poway-ca/details,13425 Community Road,Poway,CA,92064,US,858-486-1882,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",32.9589415,-117.0376617,,,,,
Vacaville Supercenter,https://www.walmart.com/store/1704/vacaville-ca/details,1501 Helen Power Dr,Vacaville,CA,95687,US,707-451-0166,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",38.36206,-121.958994,,,,,
Perris Supercenter,https://www.walmart.com/store/1747/perris-ca/details,1800 N Perris Blvd,Perris,CA,92571,US,951-940-0440,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",33.806034,-117.229378,,,,,
Rohnert Park Store,https://www.walmart.com/store/1755/rohnert-park-ca/details,4625 Redwood Dr,Rohnert Park,CA,94928,US,707-586-3717,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",38.367439,-122.71648,,,,,
Folsom Supercenter,https://www.walmart.com/store/1760/folsom-ca/details,1018 Riley St,Folsom,CA,95630,US,916-983-1090,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",38.668326,-121.167602,,,,,
Fontana Store,https://www.walmart.com/store/1756/fontana-ca/details,17251 Foothill Blvd,Fontana,CA,92335,US,909-355-6922,,,,,,,"monday - friday : 06:00-23:00, saturday : 06:00-23:00, sunday : 06:00-23:00",34.105588,-117.428136,,,,,
Lodi Supercenter,https://www.walmart.com/store/1789/lodi-ca/details,1601 S Lower Sacramento Rd,Lodi,CA,95242,US,209-368-6696,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",38.112985,-121.303278,,,,,
La Quinta Supercenter,https://www.walmart.com/store/1805/la-quinta-ca/details,79295 Us Hwy 111,La Quinta,CA,92253,US,760-564-3313,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",33.703645,-116.281073,,,,,
Fresno Supercenter,https://www.walmart.com/store/1815/fresno-ca/details,4080 W Shaw Ave,Fresno,CA,93722,US,559-550-7482,,,,,,,"monday - friday : 07:00-23:00, saturday : 07:00-23:00, sunday : 07:00-23:00",36.810606,-119.860333,,,,,
Visalia Store,https://www.walmart.com/store/1826/visalia-ca/details,1819 E Noble Ave,Visalia,CA,93292,US,559-636-2302,,,,,,,"monday - friday : 06:00-23:00, saturday : 06:00-23:00, sunday : 06:00-23:00",36.324329,-119.273131,,,,,
